id,set,start,endtime,startbidprice,initialbidprice,ref,category,product,description,mrp,base
1,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,1145,Home & Kitchen,Wall art,5Frames0154 waterfall frame,1999,1979
2,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,1149,Apparel,Men's Solid Polo T-Shirts,Gary Cooper Pack of 4 Men's Solid Polo T-Shirts Size-S,1500,1485
3,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,486,Home & Kitchen,Cubes Set with Travel Bag,"Shopper52 6pcs Packing Cubes Portable Organiser ,Water Resistant Red",1499,1484
4,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,354,Home & Kitchen,Space Saving Shoe Rack,4 Layer Z Type Lightweight Sleek Space Saving Shoe Organizer Rack,1999,1979
5,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,305,Apparel,Kurti and Jacket Set,Pick Any 1 Brocade Pink Jacket & Blue Kurta Size-XXL,1499,1484
6,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,399,Home & Kitchen,Wall Clock 3DSticker Home,Wall Clock 3D Sticker Decor Wall Clock(Area: 45 x 45cm)- DIYM07-SLV-SL    ,1999,1979
7,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,1137,Apparel,Pink Floorlenght Dress,Shree Pick Any1 Floor Length Dresses Pink Size-XL,2199,2177
8,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,728,Home & Kitchen,Cortina Spandex 1 seater,Cortina Spandex & Polyester Fabric Super Stretchable One Seater Multi,2598,2572
9,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 10:00:00 +0000 +0000,1,1,1164,Kitchen,Pressure Cooker Combo,Shagun 1.5+2+3+5 Lit. Pressure Cooker Set with 2 Common Lids,2999,2969
10,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,1149,Apparel,Embroidered Woolen kurta,Woolkraft Pick Any 1 Embroidered Cosy Winter Kurta Wine-Free Size,2999,2969
11,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,467,Home & Kitchen,Wall Clock 3D Sticker,Shopper52 DIY Wall Clock 3D Sticker (Covering Area:30cm * 30cm)   ,1499,1484
12,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,338,Electronics & Appliances,School Lunch Bag and Box,Insulated Lunch Bag and Box for Home and Office Use Canvas Black ,1499,1484
13,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,716,Home & Kitchen,Cortina Spandex 2 seater,Cortina Spandex & Polyester Fabric Super Stretchable Two Seater Brown,2998,2968
14,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,1193,Home & Kitchen,Wall art,5Frames0209 ship frame,1999,1979
15,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,703,Home & Kitchen,Cortina Spandex 2 seater,Cortina Spandex & Polyester Stretchable Two Seater Black,2998,2968
16,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,1140,Apparel,Smart Casual Pants,Curllie Pack of 3 Smart Casual Pants-XXL,2199,2177
17,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,395,Home & Kitchen,"Handsfree soap,sanitiser",Shopper52 Automatic Hands Free Liquid Soap & Sanitizers - SPDIS    ,1999,1979
18,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,468,Home & Kitchen,Hammer Knife& Carry Pouch,12 In 1 Multiutility Hammer Knife With Carry Pouch Toolkit - H8089    ,1499,1484
19,2,2021-10-20 09:20:00 +0000 +0000,2021-10-20 10:20:00 +0000 +0000,1,1,393,Home & Kitchen,Multipurpose Backpack,Shopper52 Multipurpose Foldable Lightweight backpack Bag Blue–TRBAGPACK    ,1499,1484
20,3,2021-10-20 09:40:00 +0000 +0000,2021-10-20 10:40:00 +0000 +0000,1,1,357,Home & Kitchen,Multi Functional Pouch,"Multi Functional Pouch Cosmetic, Travel Handbag, Mp3, Phone, Book  Brown",1499,1484
21,3,2021-10-20 09:40:00 +0000 +0000,2021-10-20 10:40:00 +0000 +0000,1,1,757,Home & Kitchen,Cortina Spandex 1 seater,Cortina Spandex & Polyester Fabric Super Stretchable One Seater Pink,2598,2572
22,3,2021-10-20 09:40:00 +0000 +0000,2021-10-20 10:40:00 +0000 +0000,1,1,1306,Apparel,Kurti and lower set,Pick any 1 Modern Kurta Yellow & Red Bottom set Size-L,1799,1781
