id,set,start,endtime,startbidprice,initialbidprice,ref,category,product,description,mrp,base
1,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,636,Home & Kitchen,Sangsara Giloy (1x60)    ,Sangsara Giloy (1x60)    ,799,791
2,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,1294,Home & Kitchen,Key Holder,Om Namah Shivay Mantra Keyholder (MDF_7.5X12 Inch_Multi),649,643
3,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,1105,Health Appliances,PAINLESS LANCING DEVICES,Dr. Odin PAINLESS LANCING DEVICE,350,346
4,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,330,Electronics & Appliances,Mini Car Air Purifier,Mini Auto Car Air Purifier Ionizer Ionic Oxygen Bar    ,599,593
5,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,1455,Electronics & Appliances,Drain Cleaner,Drain Cleaner,599,593
6,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,1297,Home & Kitchen,Key Holder,999Store Printed Yoga Dadu Keyholder( MDF_7.5X12 Inch_Multi) KeyholderP015,649,643
7,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,1405,Home & Kitchen,Key Holder,999Store Printed Lion Face Keyholder (MDF_7.5X12 Inch_Multi) KeyholderP123,649,643
8,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,1020,Home & Kitchen,Air Foot Pump,Multi-Purpose Air Foot Pump - Fotpup    ,699,692
9,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 09:03:00 +0000 +0000,1,1,1450,Electronics & Appliances,Mobiles Accessories,Screen Enlarger,399,395
10,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,841,Electronics & Appliances,HOT & COOL (NAYLON),HOT & COOL (NAYLON)    ,999,989
11,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,1339,Home & Kitchen,Key Holder,999Store Printed Mughal art Keyholder (MDF_7.5X12 Inch_Multi) KeyholderP057,649,643
12,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,1464,Accessories,Premium Laundry Bags,Aurome Premium Laundry Bags for dirty clothes and storage needs,799,791
13,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,1097,Grocery,Sangsara Skin,Sangsara Skin by Dr. Odin Ayurvedic Capsules,999,989
14,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,1415,Home & Kitchen,Key Holder,999Store Printed Men Face Keyholder (MDF_7.5X12 Inch_Multi) KeyholderP133,649,643
15,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,1125,Accessories,Premium Laundry Bags,Aurome Premium Laundry Bags for dirty clothes and storage needs,699,692
16,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,308,Electronics & Appliances,18 Pieces Screwdriver Set,Multipurpose 18 Pieces Screwdriver Bit Set with Solid Plastic Slotted Case,999,989
17,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,1418,Home & Kitchen,Key Holder,999Store Captain America and Iron Man Keyholder( MDF_7.5X12 Inch_Multi),649,643
18,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,1124,Grocery,Sangsara Turmeric (1x60),Sangsara Turmeric by Dr. Odin Ayurvedic Capsules,799,791
19,2,2021-10-20 09:03:00 +0000 +0000,2021-10-20 09:06:00 +0000 +0000,1,1,1376,Home & Kitchen,Key Holder,999Store Printed white Moon Keyholder ( MDF_7.5X12 Inch_Multi)KeyholderP094,649,643
20,3,2021-10-20 09:06:00 +0000 +0000,2021-10-20 09:09:00 +0000 +0000,1,1,489,Home & Kitchen,Plastic Fridgetray,Multifuction Plastic Kitchen Refrigerator FRIDGETRAY    ,699,692
21,3,2021-10-20 09:06:00 +0000 +0000,2021-10-20 09:09:00 +0000 +0000,1,1,336,Electronics & Appliances,Fake Infrared Sensor Dome,Dummy Fake Infrared Sensor Dome Wireless Security Camera With Blinking Led,999,989
22,3,2021-10-20 09:06:00 +0000 +0000,2021-10-20 09:09:00 +0000 +0000,1,1,1140,Health Appliances,RUBBER HOT WATER BOTTLE,Dr. Odin Pink RUBBER HOT WATER BOTTLE,380,376
23,3,2021-10-20 09:06:00 +0000 +0000,2021-10-20 09:09:00 +0000 +0000,1,1,1119,Accessories,Premium Laundry Bags,Aurome Premium Laundry Bags for dirty clothes and storage needs,699,692
