id,set,start,endtime,startbidprice,initialbidprice,ref,category,product,description,mrp,base
1,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,595,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Brown,3999,3959
2,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,983,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Pink,3999,3959
3,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,1093,Electronics & Appliances,ELECTRIC BED WARMER    ,ELECTRIC BED WARMER    ,3399,3365
4,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,507,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Black,3999,3959
5,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,908,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Black,3999,3959
6,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,1084,Home & Kitchen,Plastic shoerack-CUBESHRK,10 Door Plastic Sheet Shoe Rack Storage - CUBESHRK (Purple)    ,3999,3959
7,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,531,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Black,3999,3959
8,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,1134,Health Appliances,ELECTRONIC PERSONAL SCALE,Dr.Odin electronic personal scale Black,4599,4553
9,1,2021-10-20 09:00:00 +0000 +0000,2021-10-20 21:00:00 +0000 +0000,1,1,600,Apparel,Women's Leather® Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Brown,3999,3959
10,2,2021-10-20 13:00:00 +0000 +0000,2021-10-21 01:00:00 +0000 +0000,1,1,956,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket M Blue,3999,3959
11,2,2021-10-20 13:00:00 +0000 +0000,2021-10-21 01:00:00 +0000 +0000,1,1,958,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Blue,3999,3959
12,2,2021-10-20 13:00:00 +0000 +0000,2021-10-21 01:00:00 +0000 +0000,1,1,1039,Apparel,Mens Solid Leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Brown,3999,3959
